,capcalc/data/output/manyfiles_seg_0140_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0141_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0142_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0143_offdiagtransmat.csv,capcalc/data/output/manyfiles_seg_0144_offdiagtransmat.csv
from state 1 to state 1,0.0,0.0,0.0,0.0,0.0
from state 1 to state 2,0.4545454545454545,0.26666666666666666,0.3673469387755102,0.17391304347826084,0.3278688524590164
from state 1 to state 3,0.0,0.04444444444444445,0.020408163265306117,0.021739130434782608,0.016393442622950817
from state 1 to state 4,0.060606060606060615,0.17777777777777778,0.12244897959183673,0.2608695652173913,0.09836065573770493
from state 1 to state 5,0.060606060606060615,0.04444444444444445,0.1020408163265306,0.043478260869565216,0.016393442622950817
from state 1 to state 6,0.09090909090909093,0.13333333333333333,0.16326530612244894,0.1956521739130435,0.19672131147540986
from state 1 to state 7,0.15151515151515152,0.17777777777777778,0.1020408163265306,0.08695652173913042,0.11475409836065575
from state 1 to state 8,0.18181818181818185,0.15555555555555556,0.12244897959183673,0.21739130434782608,0.2295081967213115
from state 2 to state 1,0.10526315789473684,0.13846153846153847,0.21311475409836064,0.1724137931034483,0.16666666666666666
from state 2 to state 2,0.0,0.0,0.0,0.0,0.0
from state 2 to state 3,0.08771929824561403,0.07692307692307693,0.09836065573770493,0.06896551724137931,0.06666666666666668
from state 2 to state 4,0.08771929824561403,0.15384615384615385,0.11475409836065575,0.05172413793103448,0.2
from state 2 to state 5,0.03508771929824561,0.061538461538461535,0.09836065573770493,0.03448275862068965,0.05
from state 2 to state 6,0.4736842105263158,0.18461538461538465,0.21311475409836064,0.3965517241379311,0.26666666666666666
from state 2 to state 7,0.17543859649122806,0.3384615384615385,0.2459016393442623,0.20689655172413796,0.2333333333333333
from state 2 to state 8,0.03508771929824561,0.04615384615384616,0.016393442622950817,0.06896551724137931,0.016666666666666666
from state 3 to state 1,0.0,0.02127659574468085,0.0,0.018867924528301886,0.018867924528301886
from state 3 to state 2,0.11363636363636365,0.10638297872340426,0.11627906976744184,0.09433962264150944,0.09433962264150944
from state 3 to state 3,0.0,0.0,0.0,0.0,0.0
from state 3 to state 4,0.11363636363636365,0.0851063829787234,0.13953488372093026,0.1509433962264151,0.2075471698113208
from state 3 to state 5,0.2954545454545455,0.3617021276595745,0.3023255813953488,0.2452830188679245,0.3018867924528302
from state 3 to state 6,0.20454545454545456,0.1702127659574468,0.09302325581395347,0.1509433962264151,0.11320754716981132
from state 3 to state 7,0.2727272727272727,0.23404255319148934,0.32558139534883723,0.33962264150943394,0.2641509433962264
from state 3 to state 8,0.0,0.02127659574468085,0.02325581395348837,0.0,0.0
